evidence_id,source_key,source_record_id,source_status,source_url,property_key,geo_id,address,property_name,organization,equipment_type,evidence_confidence,signal_type,tower_lifecycle_event,tower_lifecycle_event_context,permit_project_key,description_fingerprint,event_date,event_age_days,recent_activity_365d,priority,description
permit:active:20 165219 MSA:00:cooling_tower,toronto_building_permits_active,active:20 165219 MSA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10133201,10133201,22 ST CLAIR AVE E,,,cooling_tower,CONFIRMED,SOURCE_ACTIVE_COOLING_TOWER_PERMIT,REPLACE_OR_RENEW_TOWER,,toronto-permit:20 165219 MSA,ff0b9aba91afcacb,2020-09-22,2166,False,,"Proposal to replace cooling tower , two chillers and associated pumps and piping for chiller plant upgrades. | Alter: Boiler/Furnace/AC Replacement | Mechanical(MS) | Office | Office | Multiple Unit Building"
permit:cleared:10 111457 MSA:00:chiller,toronto_building_permits_cleared,cleared:10 111457 MSA:00,cleared,https://open.toronto.ca/dataset/building-permits-cleared-permits/,toronto-geoid:10142946,10142946,40 WYNFORD DR,,,chiller,SUPPORTING,HISTORICAL_MECHANICAL_PROJECT,,,toronto-permit:10 111457 MSA,b8f7435f28896a25,2025-11-20,,,,Replace chiller in mechanical room roof top | Alter: Boiler/Furnace/AC Replacement | Mechanical(MS) | Office | Office | Office
permit:active:23 231889 HVA:00:chiller,toronto_building_permits_active,active:23 231889 HVA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10154617,10154617,1900 SHEPPARD AVE W,,,chiller,SUPPORTING,SOURCE_ACTIVE_MECHANICAL_PERMIT,,,toronto-permit:23 231889 HVA,9fde35ea40cf0a3a,2024-09-30,697,False,,HVAC - Proposal for replacement of chiller and make-up air unit | Building Permit Related(MS) | Mechanical(MS) | Apartments | Apartments | Apartment Building
permit:cleared:23 231889 BLD:00:chiller,toronto_building_permits_cleared,cleared:23 231889 BLD:00,cleared,https://open.toronto.ca/dataset/building-permits-cleared-permits/,toronto-geoid:10154617,10154617,1900 SHEPPARD AVE W,,,chiller,SUPPORTING,HISTORICAL_MECHANICAL_PROJECT,,,toronto-permit:23 231889 BLD,af39122424deab9a,2025-12-10,,,,Proposal to replace the chiller and make-up air unit on the rooftop of an existing apartment building. | Other(BA) | Building Additions/Alterations | Apartments | Apartments | Apartment Building
permit:cleared:19 113534 BLD:00:chiller,toronto_building_permits_cleared,cleared:19 113534 BLD:00,cleared,https://open.toronto.ca/dataset/building-permits-cleared-permits/,toronto-geoid:10222905,10222905,77 ADELAIDE ST W,,,chiller,SUPPORTING,HISTORICAL_MECHANICAL_PROJECT,,,toronto-permit:19 113534 BLD,e48aa899ce7e8559,2020-02-13,,,,"Proposed interior alterations to the B1 level, chiller added, and load bank added to the existing podium roof. | Other(BA) | Building Additions/Alterations | Commercial | Power House Structure (Service/Support) | Multiple Use/Non Residential"
permit:cleared:19 113534 HVA:00:chiller,toronto_building_permits_cleared,cleared:19 113534 HVA:00,cleared,https://open.toronto.ca/dataset/building-permits-cleared-permits/,toronto-geoid:10222905,10222905,77 ADELAIDE ST W,,,chiller,SUPPORTING,HISTORICAL_MECHANICAL_PROJECT,,,toronto-permit:19 113534 HVA,3786a3439f683876,2020-02-11,,,,"HVAC - Proposed interior alterations to the B1 level, chiller added, and load bank added to the existing podium roof. | Building Permit Related(MS) | Mechanical(MS) | Commercial | Power House Structure (Service/Support) | Multiple Use/Non Residential"
permit:cleared:04 145264 DST:00:chiller,toronto_building_permits_cleared,cleared:04 145264 DST:00,cleared,https://open.toronto.ca/dataset/building-permits-cleared-permits/,toronto-geoid:1031968,1031968,10 SHORNCLIFFE RD,,,chiller,SUPPORTING,HISTORICAL_MECHANICAL_PROJECT,,,toronto-permit:04 145264 DST,9c908a4fb4148f8c,2026-06-08,,,,Installation of rooftop chiller unit at an existing food processing facility. | Other(DS) | Designated Structures | Industrial Processing Plant
permit:cleared:09 176786 MSA:00:chiller,toronto_building_permits_cleared,cleared:09 176786 MSA:00,cleared,https://open.toronto.ca/dataset/building-permits-cleared-permits/,toronto-geoid:10536994,10536994,300 LESMILL RD,,,chiller,SUPPORTING,HISTORICAL_MECHANICAL_PROJECT,,,toronto-permit:09 176786 MSA,a00b4d46c52366b8,2026-06-08,,,,Replace existing chiller in mechanical room | Other(MS) | Mechanical(MS) | Office | Office | Office
permit:active:16 114715 BLD:01:chiller,toronto_building_permits_active,active:16 114715 BLD:01,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10663925,10663925,1 AUSTIN TER,,,chiller,SUPPORTING,SOURCE_ACTIVE_MECHANICAL_PERMIT,,,toronto-permit:16 114715 BLD,482ccbe2498035c5,2016-10-19,3600,False,,"Scope of revision is for inclusion of new enclosures for a new hydro transformer and previously described chiller within the parking structure. See drawing A2.0. Also, scope of revision includes miscellaneous changes throughout the building as shown clouded.Proposal for interior alterations for HVAC upgrades and a new restaurant/kitchen in the existing museum. New elevator. | Interior Alterations | Building Additions/Alterations | Museum | Museum | Museum"
permit:active:25 152062 BLD:00:chiller,toronto_building_permits_active,active:25 152062 BLD:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10750671,10750671,130 OVERLEA BLVD,,,chiller,SUPPORTING,SOURCE_ACTIVE_MECHANICAL_PERMIT,,,toronto-permit:25 152062 BLD,1d02e50f366c2a96,2025-05-26,459,False,,Replacement of an existing split chiller with a new rooftop air-cooled chiller. | Interior Alterations | Building Additions/Alterations | Elementary School | Elementary School | Elementary School
permit:active:25 152062 HVA:00:chiller,toronto_building_permits_active,active:25 152062 HVA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10750671,10750671,130 OVERLEA BLVD,,,chiller,SUPPORTING,RECENT_SOURCE_ACTIVE_MECHANICAL_PERMIT,,,toronto-permit:25 152062 HVA,97e9baabd8fe2cba,2025-09-08,354,True,,HVAC - Replacement of an existing split chiller with a new rooftop air-cooled chiller. | Building Permit Related(MS) | Mechanical(MS) | Elementary School | Elementary School | Elementary School
permit:active:17 253386 BLD:00:chiller,toronto_building_permits_active,active:17 253386 BLD:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10757635,10757635,30 THE QUEENSWAY,,,chiller,SUPPORTING,SOURCE_ACTIVE_MECHANICAL_PERMIT,,REPLACE_OR_RENEW_TOWER,toronto-permit:17 253386 BLD,f41586ba06420877,2017-12-08,3185,False,,"Proposed new cooling tower for Barnicke wing chiller replacement for existing hospital, *St Joseph's Health Centre* | Other(BA) | Building Additions/Alterations | Hospital | Same | Hospital"
permit:active:17 253386 BLD:00:cooling_tower,toronto_building_permits_active,active:17 253386 BLD:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10757635,10757635,30 THE QUEENSWAY,,,cooling_tower,CONFIRMED,SOURCE_ACTIVE_COOLING_TOWER_PERMIT,REPLACE_OR_RENEW_TOWER,,toronto-permit:17 253386 BLD,f41586ba06420877,2017-12-08,3185,False,,"Proposed new cooling tower for Barnicke wing chiller replacement for existing hospital, *St Joseph's Health Centre* | Other(BA) | Building Additions/Alterations | Hospital | Same | Hospital"
permit:active:17 253386 HVA:00:chiller,toronto_building_permits_active,active:17 253386 HVA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10757635,10757635,30 THE QUEENSWAY,,,chiller,SUPPORTING,SOURCE_ACTIVE_MECHANICAL_PERMIT,,REPLACE_OR_RENEW_TOWER,toronto-permit:17 253386 HVA,bed334350d98e761,2017-10-25,3229,False,,HVAC - Proposed new cooling tower for Barnicke wing chiller replacement. | Building Permit Related(MS) | Mechanical(MS) | Hospital | Same | Hospital
permit:active:17 253386 HVA:00:cooling_tower,toronto_building_permits_active,active:17 253386 HVA:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10757635,10757635,30 THE QUEENSWAY,,,cooling_tower,CONFIRMED,SOURCE_ACTIVE_COOLING_TOWER_PERMIT,REPLACE_OR_RENEW_TOWER,,toronto-permit:17 253386 HVA,bed334350d98e761,2017-10-25,3229,False,,HVAC - Proposed new cooling tower for Barnicke wing chiller replacement. | Building Permit Related(MS) | Mechanical(MS) | Hospital | Same | Hospital
permit:active:22 202915 BLD:00:chiller,toronto_building_permits_active,active:22 202915 BLD:00,active,https://open.toronto.ca/dataset/building-permits-active-permits/,toronto-geoid:10759047,10759047,11 WALMER RD,,,chiller,SUPPORTING,SOURCE_ACTIVE_MECHANICAL_PERMIT,,,toronto-permit:22 202915 BLD,930e2eeaf58f737e,2022-10-28,1400,False,,"Proposal to install air cooled scroll chiller on the roof of the building, related to 19-264503 HVA amendment request. | Interior Alterations | Building Additions/Alterations | Apartment Building | Apartment Building | Apartment Building"
