property_key,tower_status,address,property_name,organization,geo_id,equipment_types,commercial_signals,renewal_priorities,latest_source_event_date,source_keys,evidence_count
toronto-geoid:6168206,NO_TOWER_ASSERTION,25 HENRY LANE TER,,,6168206,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2021-11-22,"[""toronto_building_permits_active""]",1
toronto-geoid:7042042,NO_TOWER_ASSERTION,25 MABELLE AVE,,,7042042,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2012-02-08,"[""toronto_building_permits_active""]",1
toronto-geoid:6868899,NO_TOWER_ASSERTION,253 MERTON ST,,,6868899,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2021-11-22,"[""toronto_building_permits_active""]",1
toronto-geoid:855387,NO_TOWER_ASSERTION,27 QUEEN ST E,,,855387,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2004-03-10,"[""toronto_building_permits_active""]",1
toronto-geoid:30010555,NO_TOWER_ASSERTION,3 MARINE PARADE DR,,,30010555,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2023-06-16,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",2
toronto-geoid:9638452,NO_TOWER_ASSERTION,3050 LAWRENCE AVE E,,,9638452,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2013-05-06,"[""toronto_building_permits_active""]",2
toronto-geoid:796549,NO_TOWER_ASSERTION,317 DUNDAS ST W,,,796549,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2004-07-26,"[""toronto_building_permits_active""]",2
toronto-address:c972c91ae7b1dc29,NO_TOWER_ASSERTION,3197-3199 LAKE SHORE BLVD W,,,,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2026-06-08,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",2
toronto-geoid:30033035,NO_TOWER_ASSERTION,32 REES ST,,,30033035,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2013-01-09,"[""toronto_building_permits_active""]",2
toronto-geoid:12387715,NO_TOWER_ASSERTION,330 JARVIS ST,,,12387715,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2017-11-15,"[""toronto_building_permits_active""]",1
toronto-geoid:772686,NO_TOWER_ASSERTION,333 BLOOR ST E,,,772686,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2025-02-06,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",7
toronto-geoid:9135228,NO_TOWER_ASSERTION,36 GREENFIELD AVE,,,9135228,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2015-05-14,"[""toronto_building_permits_active""]",2
toronto-geoid:9086232,NO_TOWER_ASSERTION,399 BATHURST ST,,,9086232,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2024-09-18,"[""toronto_building_permits_active""]",2
toronto-geoid:3065725,NO_TOWER_ASSERTION,40 UNIVERSITY AVE,,,3065725,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2022-01-04,"[""toronto_building_permits_active""]",2
toronto-geoid:536800,NO_TOWER_ASSERTION,4001 LESLIE ST,,,536800,"[""chiller"",""condenser_water""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2018-03-02,"[""toronto_building_permits_active""]",2
toronto-geoid:6332564,NO_TOWER_ASSERTION,4171 SHEPPARD AVE E,,,6332564,"[""chiller"",""condenser_water""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],2023-12-11,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",8
toronto-geoid:566155,NO_TOWER_ASSERTION,44 STUBBS DR,,,566155,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],2024-01-05,"[""toronto_building_permits_active""]",1
